
Russia;primary;Nebraska;EB2;;05/26/2009;05/28/2009;05/28/2009;regular;yes;08/20/2009;Translation of transcripts.;09/16/2009;approved;09/22/2009
Nepal;primary;Nebraska;EB2;;08/31/2009;;;regular;;;;;approved;09/22/2009
India;primary;Texas;EB1B;07/14/2009;07/14/2009;07/14/2009;07/14/2009;regular;no;;;;approved;09/22/2009
India;primary;Texas;EB2;06/26/2008;11/11/2008;11/12/2008;11/13/2008;regular;no;;;;approved;12/31/2008
India;primary;California;EB2;11/13/2007;04/21/2008;;;regular;yes;;;;approved;08/15/2008
Turkey;primary;Nebraska;EB3;05/20/2005;08/17/2009;08/18/2009;;regular;no;;;;approved;09/20/2009
China;primary;Texas;EB1A;09/25/2008;09/25/2008;;;regular;yes;04/01/2009;notice of intention to deny qu... more;05/01/2009;approved;09/17/2009
India;primary;Nebraska;EB2;;06/11/2009;;;regular;;;;;approved;09/16/2009
India;primary;Texas;EB3;05/02/2006;03/08/2007;;03/12/2007;regular;yes;03/15/2009;needed evidence of income;04/20/2009;approved;03/12/2007
India;primary;Nebraska;EB2;03/25/2005;05/06/2007;05/07/2007;05/08/2007;regular;no;;;;approved;01/08/2008
Japan;primary;Nebraska;EB1B;;10/27/2008;10/29/2008;10/29/2008;regular;yes;07/31/2009;More evidence for all criteria... more;09/14/2009;approved;09/21/2009
India;primary;Texas;EB2;05/07/2008;10/16/2008;;;regular;;;;;approved;12/01/2008
Colombia;primary;Nebraska;EB2;09/24/2008;07/20/2009;07/21/2009;;regular;no;;;;approved;09/13/2009
Portugal;primary;Nebraska;EB2;11/21/2008;07/02/2009;07/02/2009;07/03/2009;regular;no;;;;approved;09/10/2009
China;primary;Nebraska;EB1C;;08/26/2008;;;regular;yes;06/02/2009;evidence is not enough to make... more;06/23/2009;pending;
Iran;primary;Nebraska;EB2;08/20/2008;05/20/2009;05/21/2009;;regular;yes;09/03/2009;A2P;09/11/2009;approved;09/18/2009
India;primary;Nebraska;EB2;01/28/2005;04/12/2007;05/15/2007;;premium;no;;;;approved;06/09/2007
India;primary;Nebraska;EB2;08/08/2008;06/08/2009;06/09/2009;;regular;yes;09/09/2009;Original labor was missing. Th... more;09/11/2009;approved;09/18/2009
Mexico;primary;Texas;EB2;09/21/2007;07/17/2009;07/20/2009;07/20/2009;regular;;;;;approved;09/16/2009
India;primary;Nebraska;EB2;12/30/2004;04/16/2007;04/17/2007;04/20/2007;regular;yes;;;;approved;09/18/2009
India;primary;Nebraska;EB2;01/08/2008;06/03/2008;06/04/2008;06/04/2008;regular;no;;;;approved;09/23/2008
India;primary;Nebraska;EB2;10/17/2006;08/09/2007;08/11/2007;10/15/2007;regular;yes;10/16/2008;Got RFE(Ability to Pay) on 16t... more;11/12/2008;approved;12/05/2008
India;primary;Texas;EB1B;;08/26/2009;08/28/2009;;regular;no;;;;approved;09/18/2009
Hong Kong;primary;Nebraska;EB2;10/30/2008;06/25/2009;06/29/2009;06/29/2009;regular;;;;;approved;09/17/2009
